Date,WY,P,Q,ET
4/16/00 0:00,1999,4.83,3.9,3.161732259
4/17/00 0:00,1999,4.83,3.2,3.161732259
4/18/00 0:00,1999,4.83,2.4,3.161732259
4/19/00 0:00,1999,1.78,2.2,3.161732259
4/20/00 0:00,1999,0,1.9,3.161732259
4/21/00 0:00,1999,0,1.6,3.161732259
4/22/00 0:00,1999,0,1.6,3.161732259
4/23/00 0:00,1999,0,1.7,3.161732259
4/24/00 0:00,1999,0,2.2,3.161732259
4/25/00 0:00,1999,6.35,2,3.161732259
4/26/00 0:00,1999,0.76,1.9,3.161732259
4/27/00 0:00,1999,0,1.9,3.161732259
4/28/00 0:00,1999,0,1.7,3.161732259
4/29/00 0:00,1999,6.6,2,3.161732259
4/30/00 0:00,1999,6.6,2.6,3.161732259
5/1/00 0:00,1999,6.6,3,3.583657911
5/2/00 0:00,1999,0,2.2,3.583657911
5/3/00 0:00,1999,17.27,5.3,3.583657911
5/4/00 0:00,1999,29.97,5.2,3.583657911
5/5/00 0:00,1999,14.73,4.5,3.583657911
5/6/00 0:00,1999,2.54,3.9,3.583657911
5/7/00 0:00,1999,2.54,8.9,3.583657911
5/8/00 0:00,1999,2.54,5.8,3.583657911
5/9/00 0:00,1999,0,3.2,3.583657911
5/10/00 0:00,1999,0,4.7,3.583657911
5/11/00 0:00,1999,144.78,53.2,3.583657911
5/12/00 0:00,1999,3.05,8.3,3.583657911
5/13/00 0:00,1999,0.51,4.7,3.583657911
5/14/00 0:00,1999,0.51,3.9,3.583657911
5/15/00 0:00,1999,0.51,3.5,3.583657911
5/16/00 0:00,1999,0,3.2,3.583657911
5/17/00 0:00,1999,0.51,8.8,3.583657911
5/18/00 0:00,1999,35.05,7.6,3.583657911
5/19/00 0:00,1999,0.25,4.6,3.583657911
5/20/00 0:00,1999,1.02,3.7,3.583657911
5/21/00 0:00,1999,1.02,3.3,3.583657911
5/22/00 0:00,1999,1.02,3,3.583657911
5/23/00 0:00,1999,0.51,3,3.583657911
5/24/00 0:00,1999,0,2.9,3.583657911
5/25/00 0:00,1999,10.41,5.9,3.583657911
5/26/00 0:00,1999,0,3.9,3.583657911
5/27/00 0:00,1999,22.1,4.3,3.583657911
5/28/00 0:00,1999,22.1,8.5,3.583657911
5/29/00 0:00,1999,22.1,15.5,3.583657911
5/30/00 0:00,1999,22.1,20.4,3.583657911
5/31/00 0:00,1999,3.56,5.9,3.583657911
6/1/00 0:00,1999,0.51,4.6,4.008977973
6/2/00 0:00,1999,7.11,5.3,4.008977973
6/3/00 0:00,1999,3.56,6.3,4.008977973
6/4/00 0:00,1999,3.56,5,4.008977973
6/5/00 0:00,1999,3.56,3.9,4.008977973
6/6/00 0:00,1999,0,3.5,4.008977973
6/7/00 0:00,1999,0,3.3,4.008977973
6/8/00 0:00,1999,0.51,3.2,4.008977973
6/9/00 0:00,1999,0,3,4.008977973
6/10/00 0:00,1999,20.07,3.2,4.008977973
6/11/00 0:00,1999,20.07,3.2,4.008977973
6/12/00 0:00,1999,20.07,23.6,4.008977973
6/13/00 0:00,1999,9.65,11.9,4.008977973
6/14/00 0:00,1999,2.03,7.1,4.008977973
6/15/00 0:00,1999,1.02,8.5,4.008977973
6/16/00 0:00,1999,36.83,15.5,4.008977973
6/17/00 0:00,1999,0.25,10.1,4.008977973
6/18/00 0:00,1999,0.25,6.8,4.008977973
6/19/00 0:00,1999,0.25,5.9,4.008977973
6/20/00 0:00,1999,0.25,6.2,4.008977973
6/21/00 0:00,1999,6.86,6.8,4.008977973
6/22/00 0:00,1999,0.25,5.3,4.008977973
6/23/00 0:00,1999,0.76,5,4.008977973
6/24/00 0:00,1999,8.89,4.7,4.008977973
6/25/00 0:00,1999,8.89,5,4.008977973
6/26/00 0:00,1999,8.89,5.9,4.008977973
6/27/00 0:00,1999,18.54,6,4.008977973
6/28/00 0:00,1999,0,4.6,4.008977973
6/29/00 0:00,1999,0,4.3,4.008977973
6/30/00 0:00,1999,1.27,4.5,4.008977973
7/1/00 0:00,1999,21.59,6.8,4.275874898
7/2/00 0:00,1999,21.59,11.1,4.275874898
7/3/00 0:00,1999,21.59,9.8,4.275874898
7/4/00 0:00,1999,3.3,5.8,4.275874898
7/5/00 0:00,1999,3.3,4.5,4.275874898
7/6/00 0:00,1999,0,4,4.275874898
7/7/00 0:00,1999,0,3.7,4.275874898
7/8/00 0:00,1999,1.78,4.6,4.275874898
7/9/00 0:00,1999,1.78,3.7,4.275874898
7/10/00 0:00,1999,1.78,3.5,4.275874898
7/11/00 0:00,1999,0.51,3.5,4.275874898
7/12/00 0:00,1999,3.05,5,4.275874898
7/13/00 0:00,1999,0,4.2,4.275874898
7/14/00 0:00,1999,21.08,7.1,4.275874898
7/15/00 0:00,1999,3.05,4.2,4.275874898
7/16/00 0:00,1999,3.05,3.6,4.275874898
7/17/00 0:00,1999,3.05,3.6,4.275874898
7/18/00 0:00,1999,3.05,3.7,4.275874898
7/19/00 0:00,1999,1.78,3.5,4.275874898
7/20/00 0:00,1999,3.05,3.9,4.275874898
7/21/00 0:00,1999,0,3.5,4.275874898
7/22/00 0:00,1999,1.78,3.5,4.275874898
7/23/00 0:00,1999,1.78,3.9,4.275874898
7/24/00 0:00,1999,1.78,3.5,4.275874898
7/25/00 0:00,1999,14.73,5.2,4.275874898
7/26/00 0:00,1999,2.29,3.9,4.275874898
7/27/00 0:00,1999,1.27,4.2,4.275874898
7/28/00 0:00,1999,1.27,4.7,4.275874898
7/29/00 0:00,1999,17.02,10.8,4.275874898
7/30/00 0:00,1999,17.02,8.3,4.275874898
7/31/00 0:00,1999,17.02,5.9,4.275874898
8/1/00 0:00,1999,9.4,9.2,4.262602651
8/2/00 0:00,1999,15.75,8.1,4.262602651
8/3/00 0:00,1999,19.05,8.6,4.262602651
8/4/00 0:00,1999,4.83,26.6,4.262602651
8/5/00 0:00,1999,18.29,11.2,4.262602651
8/6/00 0:00,1999,18.29,5.9,4.262602651
8/7/00 0:00,1999,18.29,6.2,4.262602651
8/8/00 0:00,1999,5.84,8.6,4.262602651
8/9/00 0:00,1999,11.43,5.8,4.262602651
8/10/00 0:00,1999,6.1,9.1,4.262602651
8/11/00 0:00,1999,0.25,6.2,4.262602651
8/12/00 0:00,1999,11.68,5,4.262602651
8/13/00 0:00,1999,11.68,4.6,4.262602651
8/14/00 0:00,1999,11.68,5.9,4.262602651
8/15/00 0:00,1999,13.97,6.8,4.262602651
8/16/00 0:00,1999,19.3,8.8,4.262602651
8/17/00 0:00,1999,4.06,5.9,4.262602651
8/18/00 0:00,1999,0,4.7,4.262602651
8/19/00 0:00,1999,2.29,4.9,4.262602651
8/20/00 0:00,1999,2.29,4.3,4.262602651
