Date,DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
90402,4/2/09,0.7,0.8,1,0.6,0.8,0.8,1.1,0.9,0.5
90403,4/3/09,10.5,10.5,10.7,11.3,11.9,12.3,14.7,15.4,13.4
90404,4/4/09,4.1,4.1,4.2,4.3,4.6,4.5,5.3,5.5,4.8
90405,4/5/09,0,0,0,0,0,0,0.3,0.2,0.1
90406,4/6/09,24.7,24.3,23.3,24.8,24.4,25.3,24.8,25.1,25.9
90407,4/7/09,5.9,6.2,6.4,5.5,5.6,5.1,6.5,6.1,5.6
90408,4/8/09,0,0,0,0,0,0,0,0,0
90409,4/9/09,0,0,0,0,0,0,0,0,0
90410,4/10/09,0,0,0,0,0,0,0,0,0
90411,4/11/09,0,0,0,0,0,0,0,0,0
90412,4/12/09,0.8,0.9,1,0.7,0.9,1.1,0.3,0.3,0.3
90413,4/13/09,0,0,0,0,0,0,0,0,0
90414,4/14/09,0,0,0,0,0,0,0,0,0
90415,4/15/09,0,0,0,0,0,0,0,0,0
90416,4/16/09,0,0,0,0,0,0,0,0,0
90417,4/17/09,0,0,0,0,0,0,0,0,0
90418,4/18/09,0,0,0,0,0,0,0,0,0
90419,4/19/09,0,0,0,0,0,0,0,0,0
90420,4/20/09,0,0,0,0,0,0,0,0,0
90421,4/21/09,14.6,14.4,14,15.6,15.6,16.2,18.8,19.1,17.2
90422,4/22/09,13.1,12.7,12.1,14.2,14.2,15.2,14.3,14.5,13.2
90423,4/23/09,8.4,8.2,7.8,9.1,8.7,8.8,6.3,6.2,6.2
90424,4/24/09,0,0,0,0,0,0,0,0,0
90425,4/25/09,0,0,0,0,0,0,0,0,0
90426,4/26/09,0,0,0,0,0,0,0,0,0
90427,4/27/09,0,0,0,0,0,0,0,0,0
90428,4/28/09,0,0,0,0,0,0,0,0,0
90429,4/29/09,0,0,0,0,0,0,0,0,0
90430,4/30/09,1.6,1.5,1.3,1.8,1.5,1.4,1.4,1.7,2.3
90501,5/1/09,8.7,8.6,8.7,9.2,8.8,8.8,8.1,8.3,10
90502,5/2/09,5.2,5.3,5.5,5.3,5.6,6,9.2,8.2,6.9
90503,5/3/09,0,0,0,0,0,0,0,0,0
90504,5/4/09,0,0,0,0,0,0,0,0,0
90505,5/5/09,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.7
90506,5/6/09,2.1,2.2,2.4,2.2,2.3,2.1,2.2,2,2.5
90507,5/7/09,16.7,16.6,16.9,18.2,17.9,17.5,19.8,18.7,19.8
90508,5/8/09,0.4,0.3,0.2,0.6,0.7,1.3,0.5,0.5,0.2
90509,5/9/09,12.9,12.8,13,14,15,16.7,12.8,12.4,12.7
90510,5/10/09,3.8,3.9,4,4.1,4.7,5.7,5.7,5.4,4.6
90511,5/11/09,0,0,0,0,0,0,0,0,0
90512,5/12/09,0,0,0,0,0,0,0,0,0
90513,5/13/09,0,0,0,0,0,0,0,0,0
90514,5/14/09,11.8,11.7,11.9,12,11.6,11.2,13.1,13.1,13.4
90515,5/15/09,0,0,0,0,0,0,0,0,0
90516,5/16/09,13.6,13.3,13.2,14.2,13.4,13.3,13.9,14.1,13.3
90517,5/17/09,7.8,8.2,8.8,7.6,8.6,9.6,8.3,8,8
90518,5/18/09,0,0,0,0,0,0,0,0,0
90519,5/19/09,0,0,0,0,0,0,0,0,0
90520,5/20/09,0,0,0,0,0,0,0,0,0
90521,5/21/09,0,0,0,0,0,0,0,0,0
90522,5/22/09,0,0,0,0,0,0,0,0,0
90523,5/23/09,0.5,0.5,0.6,0.5,0.5,0.4,0.8,0.8,0.5
90524,5/24/09,4.1,4,4.1,4.3,4.3,4.3,3.3,3.2,3.8
90525,5/25/09,0,0,0,0,0,0,0,0,0
90526,5/26/09,0,0,0,0,0,0,0,0,0
90527,5/27/09,34.9,34.4,33.4,34.7,34,34.1,33.8,33,35.3
90528,5/28/09,19.2,19.1,18.9,18.9,18.6,18.2,20.3,19.4,19.7
90529,5/29/09,9.8,9.9,9.9,9.5,10.3,11.4,9.5,9,9.5
90530,5/30/09,1.2,1.2,1.2,1.2,0.9,0.5,1.1,1.1,0.7
90531,5/31/09,5.1,5.3,5.6,4.9,5.2,5.2,1.9,1.8,1.3
90601,6/1/09,0,0,0,0,0,0,0,0,0
90602,6/2/09,0,0,0,0,0,0,0,0,0
90603,6/3/09,0,0,0,0,0,0,0,0,0
90604,6/4/09,0,0,0,0,0,0,0,0,0
90605,6/5/09,0,0,0,0,0,0,0,0,0
90606,6/6/09,0,0,0,0,0,0,0,0,0
90607,6/7/09,1.1,1.2,1.1,1.2,1.3,1.4,1.1,1,1.2
90608,6/8/09,0,0,0,0,0,0,0,0,0
90609,6/9/09,12.7,12.5,12.3,13.1,12.5,11.8,14.8,14.4,16.3
90610,6/10/09,0,0,0,0,0,0,0,0,0
90611,6/11/09,8,7.9,7.8,8.3,8.6,9.3,9.4,9.4,10.8
90612,6/12/09,40.5,40.5,40.4,41.2,41.5,41.6,49.9,47.5,46.9
90613,6/13/09,0,0,0,0,0,0,0,0.4,0.6
90614,6/14/09,6.5,6.5,6.5,6.6,6.6,6.5,7.1,6.6,7.5
90615,6/15/09,2.5,2.5,2.4,2.6,2.6,2.8,6.5,6.3,6.1
90616,6/16/09,0,0,0,0,0,0,0,0,0
90617,6/17/09,0,0,0,0,0,0,0,0,0
90618,6/18/09,16.3,15.7,14.7,17.7,16.1,14.7,13.7,15,17
90619,6/19/09,18.1,19.3,20.2,18,21.2,23.4,24.6,23.6,22.6
90620,6/20/09,0,0,0,0,0,0,0,0,0
90621,6/21/09,1.9,1.7,1.6,2.1,1.9,1.9,1.4,1.4,1.3
90622,6/22/09,0,0,0,0,0,0,0,0,0
90623,6/23/09,0,0,0,0,0,0,0,0,0
90624,6/24/09,0,0,0,0,0,0,0,0,0
90625,6/25/09,0,0,0,0,0,0,0,0,0
90626,6/26/09,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.6
90627,6/27/09,4.7,5.3,5.7,4.7,6.6,8.4,5.3,5.6,8.6
90628,6/28/09,2.9,3.1,3.2,3,3.3,3.3,3.8,4.1,4.4
90629,6/29/09,22.7,22.5,21.4,25.1,25,24.8,28.1,29.3,29.7
90630,6/30/09,2,1.9,1.5,2.2,2,2.3,2.8,3,3.4
90701,7/1/09,4.8,4.7,4.5,4.6,4.7,5.3,11.2,10.7,7.7
90702,7/2/09,44.9,45.1,43.9,42.4,45,51.7,45.5,45.4,43.8
90703,7/3/09,11.2,10.5,9.2,11.8,9,6.9,3.4,4.2,5.4
90704,7/4/09,11.4,11.1,10.4,11.3,12.7,16.3,7.8,7.8,6.7
90705,7/5/09,0.5,0.5,0.5,0.5,0.6,0.8,0.6,0.6,0.5
90706,7/6/09,0,0,0,0,0,0,0,0,0
90707,7/7/09,9.1,8.9,8.1,8.6,8.6,9,5.8,6.2,8.7
90708,7/8/09,14.7,14.8,14,13.7,12.7,10.7,4.1,4.2,6.7
90709,7/9/09,0.7,0.9,1.2,0.5,1,1.4,0,0,0
90710,7/10/09,0,0,0,0,0,0,0,0,0
90711,7/11/09,16.2,15.9,14.5,15.4,14.7,14.3,22.6,22.8,21.2
90712,7/12/09,4.8,4.8,4.5,4.5,4.8,5.3,1.1,1.2,1.5
90713,7/13/09,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0
90714,7/14/09,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0
90715,7/15/09,0,0,0,0,0,0,0,0,0
90716,7/16/09,6.3,6.3,6.2,6.4,6.4,6.6,16.1,14.5,13.7
90717,7/17/09,1.9,1.9,1.9,2,2,2,3.3,3.3,3.1
90718,7/18/09,6.1,6.1,5.9,6.1,6.3,6.9,4.9,4.4,5.5
90719,7/19/09,0,0,0,0,0,0,0,0,0
90720,7/20/09,0,0,0,0,0,0,0,0,0
90721,7/21/09,23.3,23.1,22.2,23.5,23.9,25.2,25.9,25.3,27.6
90722,7/22/09,5.6,5.8,5.8,5.5,4.7,3,4.1,3.8,3.2
90723,7/23/09,0,0,0,0,0,0,0,0,0
90724,7/24/09,18.2,18.1,17.3,18.4,18.1,18.2,19.3,18.9,19
90725,7/25/09,4.9,5.1,5.2,4.7,5.4,6.1,1.4,1.2,0.8
90726,7/26/09,1.1,1.1,0.9,1.2,0.9,0.5,0.8,0.8,0.8
90727,7/27/09,3,3.2,3.4,2.8,3.4,3.8,3.6,3.6,3
90728,7/28/09,0,0,0,0,0,0,0,0,0
90729,7/29/09,27,26.4,25.7,27.5,25.8,24.5,25.4,26.2,28
90730,7/30/09,19.6,20.2,21,19,20.3,20.7,18,18.1,21
90731,7/31/09,17.1,17.3,17.5,16.9,17.8,18.6,18.3,18.2,18.3
90801,8/1/09,0,0,0,0,0,0,0,0,0
90802,8/2/09,42.4,42.5,42.6,42.2,41.9,40.8,38.4,38.3,37.4
90803,8/3/09,1.4,1.2,1.1,1.5,1.1,0.8,4.4,3.7,2.3
90804,8/4/09,0,0,0,0,0,0,0,0,0
90805,8/5/09,0,0,0,0,0,0,0,0,0
90806,8/6/09,0,0,0,0,0,0,0,0,0
90807,8/7/09,0,0,0,0,0,0,0,0,0
90808,8/8/09,0,0,0,0,0,0,0,0,0
90809,8/9/09,2.8,2.6,2.5,2.9,2.8,2.7,3.9,3.6,4.2
90810,8/10/09,0.8,0.9,1.2,0.7,1,1,0.4,0.4,0.5
90811,8/11/09,10.5,10.6,11.2,10.9,11.5,11.9,9.6,11.9,12.7
90812,8/12/09,0.8,0.7,0.6,1,0.7,0.6,0,0,0
90813,8/13/09,0,0,0,0,0,0,0,0,0
90814,8/14/09,0,0,0,0,0,0,0,0,0
90815,8/15/09,0,0,0,0,0,0,0,0,0
90816,8/16/09,0,0,0,0,0,0,0,0,0
90817,8/17/09,0,0,0,0,0,0,0,0,0
90818,8/18/09,0,0,0,0,0,0,0,0,0
90819,8/19/09,0,0,0,0,0,0,0,0,0
90820,8/20/09,0,0,0,0,0,0,0,0,0
90821,8/21/09,47.4,46.9,45.4,45.4,44.4,45.1,41,39.3,43.2
90822,8/22/09,21.2,21.2,20.8,20,20.8,22.5,12.8,12,16.6
90823,8/23/09,0.9,0.9,0.9,0.9,1,1.3,0.8,0.7,0.6
90824,8/24/09,1.2,1.2,1.3,1.1,1.1,1,0.8,0.7,0.7
90825,8/25/09,0,0,0,0,0,0,0,0,0
90826,8/26/09,0.1,0.1,0.1,0.2,0.1,0,1.3,1.3,1.3
90827,8/27/09,0,0,0,0,0,0,0,0,0
90828,8/28/09,4.5,3.9,3.2,5.1,3.6,2.7,4,3.7,3.1
90829,8/29/09,21.5,22.1,22.5,21.1,22.9,24.2,26.7,26.1,26.9
90830,8/30/09,0.5,0.6,0.6,0.4,0.7,1.1,0.8,0.7,0.6
90831,8/31/09,0.6,0.7,0.7,0.6,0.5,0.3,0.5,0.5,0.5
90901,9/1/09,0,0,0,0,0,0,0,0,0
90902,9/2/09,0,0,0,0,0,0,0,0,0
90903,9/3/09,0,0,0,0,0,0,0,0,0
90904,9/4/09,0,0,0,0,0,0,0,0,0
90905,9/5/09,0,0,0,0,0,0,0,0,0
90906,9/6/09,0,0,0,0,0,0,0,0,0
90907,9/7/09,0,0,0,0,0,0,0,0,0
90908,9/8/09,0,0,0,0,0,0,0,0,0
90909,9/9/09,0,0,0,0,0,0,0,0,0
90910,9/10/09,0,0,0,0,0,0,0,0,0
90911,9/11/09,2.1,2,2,2.3,2.3,2.3,4.8,4.2,4.5
90912,9/12/09,1.1,1.1,1.2,1.1,1.3,1.3,0.8,0.7,0.7
