Date,precip,Dry_PET,Dry_runoff,Elder_PET,Elder_runoff
12/1/15,0,0.986122841,0,1.007335458,0.13024986
12/2/15,14.48993734,0.693439879,0,0.867885691,0.20068833
12/3/15,54.64202177,0.653734284,5.131024034,0.881782782,0.812350997
12/4/15,1.804167035,0.799972945,3.743524507,0.850944872,1.285104701
12/5/15,7.691062969,0.765682084,0.701266332,0.829879001,0.517199728
12/6/15,31.1385648,0.864077542,28.68504826,0.883246257,2.333340555
12/7/15,4.698114821,0.615390722,3.403483015,0.66811448,1.055199468
12/8/15,5.674020058,0.697128108,5.013475466,0.787405351,0.909569104
12/9/15,63.38142232,0.641329364,27.22450825,0.681314425,2.854400547
12/10/15,82.67550208,1.043920697,75.64420434,1.062607474,16.87631871
12/11/15,8.746682911,0.590839305,17.66670717,0.680520527,7.811812545
12/12/15,7.642358373,0.740532877,6.492816993,0.768168367,4.779612765
12/13/15,56.06141467,0.882912795,45.70788425,0.980741193,15.64224519
12/14/15,0,0.657220229,7.302874362,0.816565674,9.044523619
12/15/15,0,0.862273704,2.233196508,0.859106245,5.416480687
12/16/15,0,0.871764936,1.065815532,0.811343152,3.774430211
12/17/15,19.6342474,0.662294707,4.882320312,0.776407475,3.314528916
12/18/15,40.99576206,0.604068587,46.06742447,0.630390438,10.44451281
12/19/15,1.330970368,0.649335901,18.25547264,0.771313907,11.35644349
12/20/15,36.42426198,0.644554335,24.62205265,0.662006247,10.51096991
12/21/15,142.151925,0.756834916,86.80669813,0.852892809,35.59890345
12/22/15,72.78128567,0.927344888,81.99031679,0.984283843,54.63258007
12/23/15,1.837867917,0.658327519,11.89903373,0.743405725,28.09818279
12/24/15,22.87521931,0.522342889,20.6676369,0.551131778,17.07735522
12/25/15,0,0.597421957,7.540418702,0.729235972,12.02767534
12/26/15,0,0.813798621,3.191741204,0.534858023,9.269327248
12/27/15,3.469466056,0.59704382,2.249831726,0.570498608,7.566572223
12/28/15,0,0.605624604,3.170292381,0.807075619,6.386693787
12/29/15,0,0.804146065,1.804524585,0.622727866,5.496562248
12/30/15,2.001021203,0.700509668,3.098784343,0.840557926,4.80418287
12/31/15,0,0.850399974,1.92521453,0.520109074,4.290191801
1/1/16,0,0.850144529,1.154405182,0.533099791,3.86889315
1/2/16,0,0.818620839,0.856695598,0.899998812,3.507844898
1/3/16,3.551244171,0.479506965,1.716600712,0.742814683,3.250796709
1/4/16,27.26713738,0.466784147,4.39687735,0.756134615,3.583687739
1/5/16,28.25817436,0.625120017,30.44766485,0.684503634,8.331812857
1/6/16,38.68207763,0.540879547,30.30024533,0.655534005,11.50570705
1/7/16,0,0.814093447,11.07278946,0.797414428,13.17939655
1/8/16,2.313851016,0.513917797,7.371714152,0.623320145,10.48826248
1/9/16,9.594102455,0.572298196,11.6340534,0.728337899,9.705158659
1/10/16,0,0.876458341,5.460165001,1.035014823,8.901769531
1/11/16,0.462975514,0.617572796,4.110253497,0.807103928,7.590036575
1/12/16,23.75361804,0.639770144,4.902422896,1.002808106,6.589546892
1/13/16,35.51202628,0.907240906,66.01303065,0.975569215,
1/14/16,23.37740083,0.687379015,34.49956312,0.809448123,19.77515014
1/15/16,6.610515431,0.899774004,21.97592231,1.012280257,17.21072357
1/16/16,14.09294575,0.98138208,33.04966272,1.155010109,16.18283358
1/17/16,124.0968472,0.845988417,94.7664654,0.893671246,43.25615403
1/18/16,7.220471639,0.894549506,34.97863311,0.852733804,37.7594404
1/19/16,28.3340805,0.963259978,48.81134403,1.063540372,27.23378635
1/20/16,0,0.983046181,15.85979825,1.041584457,24.03657919
1/21/16,2.557506778,0.894189395,7.728290213,1.263174503,16.96548325
1/22/16,29.04549161,0.963274598,29.12340217,1.144025098,13.69470399
1/23/16,40.69681897,0.596785434,54.49814454,0.716924653,20.83467916
1/24/16,7.350957256,0.965583118,19.71057545,1.0043398,21.11186128
1/25/16,0,0.860466214,22.64495328,1.006781996,16.14831827
1/26/16,0,1.361183781,9.66450025,1.349219936,12.17058081
1/27/16,0,1.441891173,5.22070639,1.370669082,9.596314343
1/28/16,16.70317888,0.708268843,10.40482761,0.990182393,8.504086614
1/29/16,75.33211776,1.168194377,60.09303408,1.131486445,20.22248665
1/30/16,0,0.963674706,19.38277154,1.023944409,22.62871808
1/31/16,0,0.964058019,8.017400185,1.03474211,16.57885128
2/1/16,0,0.959875249,4.148795303,1.217738795,12.38085168
2/2/16,0,1.054214102,3.470428623,1.187674793,9.680029095
2/3/16,12.25306064,0.746596609,3.615146027,0.996856328,7.981512793
2/4/16,0,1.187384837,4.952072336,1.37567639,6.856586354
2/5/16,0,1.529793861,2.816156831,1.543904294,6.118140496
2/6/16,0,1.781636824,2.075423631,1.903677157,5.527898512
2/7/16,0,2.535799168,1.560443516,1.943943701,5.035601273
2/8/16,0,2.242633054,1.131203746,1.989986469,4.596893587
2/9/16,0,2.043369258,0.884756289,2.159756775,4.365883259
2/10/16,0,1.970786674,0.695083391,2.03933402,3.995903415
2/11/16,0,1.895686836,0.600781351,2.156686644,3.637882822
2/12/16,0,1.694301237,0.470150077,1.915582475,3.461975875
2/13/16,0,1.8956921,0.38875106,1.940703814,3.263210108
2/14/16,0,2.045133074,0.307216459,2.401036808,3.072770402
2/15/16,0,2.240655167,0.276849379,2.42550385,3.012520002
2/16/16,0,2.403634402,0.278698076,2.462711327,2.976490868
2/17/16,24.69962929,1.846057503,3.439114352,1.798450137,3.043553499
2/18/16,27.43944007,1.082344709,37.05603766,1.127046235,3.959005051
2/19/16,13.93525944,0.945846014,32.5293266,1.278252544,4.589627207
2/20/16,0,1.676783843,11.37305819,1.741012431,4.850459969
2/21/16,0,1.840403989,4.927989722,1.954652735,4.450506308
2/22/16,0,2.230066604,2.909423626,2.167718264,4.184980676
2/23/16,0,2.297413045,2.061125788,2.456698716,4.000142137
2/24/16,0,2.070271143,1.414961585,2.316378279,3.764893088
2/25/16,0,2.347418499,1.075117639,2.664658525,3.5494752
2/26/16,7.596988002,1.726215007,1.256964884,2.166514644,3.359035493
2/27/16,0,1.761729292,1.392613759,1.674129348,3.170260999
2/28/16,0.857928704,1.778815847,1.168685406,2.035532435,3.037498183
2/29/16,0,2.370241338,0.945400244,2.349125048,2.811332108
3/1/16,7.091771509,1.454666562,1.05018596,1.839450331,2.595460072
3/2/16,18.49715299,1.663934606,4.351566848,1.906144483,2.55640328
3/3/16,1.452651595,1.897122288,15.775346,2.322472407,3.864503045
3/4/16,0,1.671433796,4.974337869,2.198459109,3.655291857
3/5/16,134.2176143,1.529513981,70.20435286,1.635442197,11.48466482
3/6/16,47.31025963,1.056185573,71.01804368,1.252847061,27.53352452
3/7/16,4.205324163,1.73828269,44.11438184,2.031688339,28.65224426
3/8/16,1.304526615,1.096617197,12.9065476,1.338107303,21.3465048
3/9/16,19.16674667,1.558521255,15.22174708,1.918674253,14.14340295
3/10/16,56.41256487,1.084651544,71.03155428,1.465586897,23.48751336
3/11/16,20.03844774,1.459709916,42.03778409,1.804065054,22.64688403
3/12/16,58.67294583,1.152843344,81.98407888,1.124541604,24.15465786
3/13/16,118.3543802,1.246356353,102.2202865,1.343929502,49.64043228
3/14/16,2.437553877,1.597051173,50.72313976,1.838697312,47.85516698
3/15/16,0,2.188671925,21.56533313,2.450362214,28.11029342
3/16/16,0,3.199559986,11.95662263,3.503800375,19.46027368
3/17/16,0,2.578370587,7.085600318,3.603130455,13.62506785
3/18/16,0,2.881294727,5.332003705,3.441526482,10.45934834
3/19/16,0,1.951955074,6.234178273,2.352363963,8.492732895
3/20/16,33.50926502,1.625728382,21.28454298,1.968549954,8.799131915
3/21/16,56.39287247,1.353395391,48.17326091,1.536981229,12.64501486
3/22/16,6.018282159,1.763118854,30.33441054,1.961551606,15.36082435
3/23/16,0,2.654289666,11.82848051,3.013528851,13.42857283
3/24/16,0,2.517733047,8.7491786,2.82017099,11.17871995
3/25/16,0,2.68657956,6.995582585,3.047522522,9.400122086
3/26/16,0,2.875436118,6.420781705,3.157575047,7.975003327
3/27/16,0,2.208323908,5.081524694,2.571783861,6.797395634
3/28/16,0,2.375209781,2.869449122,2.557959385,5.984772148
3/29/16,0,2.833692628,2.006525876,3.161070449,5.353656777
3/30/16,0,2.973053063,1.709023153,3.431636461,4.820637534
3/31/16,0,3.134599833,1.396806699,3.778492406,4.37163581
4/1/16,0,3.411028215,1.164816331,3.825962531,4.016340109
4/2/16,0,3.39969469,0.927634819,3.916474789,3.723868318
4/3/16,0,3.037675676,0.749027304,3.63948984,3.467728426
4/4/16,0,3.002326448,0.897493611,3.508986549,3.231268313
4/5/16,0,4.534405038,0.694134274,5.025419957,3.009492343
4/6/16,0,4.734951666,0.561778701,5.697479953,2.7901385
4/7/16,0,3.972615922,0.432907569,4.299026994,2.600758474
4/8/16,0,3.281366845,0.589383619,3.218736431,2.471931613
4/9/16,0,2.192657563,0.589783746,2.250996915,2.353247408
4/10/16,0,1.978163418,0.650535091,2.564392512,2.255605428
4/11/16,0,3.080104508,0.578961575,3.431278247,2.147820793
4/12/16,0,2.284154959,0.328349512,2.746977064,2.045485943
4/13/16,20.71581218,2.809089744,0.372433022,3.160920278,2.004915322
4/14/16,0,1.908930117,0.954455766,2.335211808,2.133288033
4/15/16,0,3.397680219,0.685658424,3.626160311,1.865188892
4/16/16,0,4.861846937,0.589941852,5.153606095,1.7295498
4/17/16,0,4.87031589,0.39053088,5.321069123,1.656583235
4/18/16,0,4.49261578,0.369021979,5.314972399,1.576804439
4/19/16,0,4.218962349,0.742466672,4.977996009,1.52230659
4/20/16,0,3.361669845,0.46473433,4.040688454,1.470927229
4/21/16,16.84688402,2.551267488,0.266246873,3.045424632,1.44255807
4/22/16,36.05149992,1.763939016,13.62841875,1.788740368,2.472385762
4/23/16,0,2.709278337,5.186291716,2.829471283,2.000222451
4/24/16,0,2.585856754,4.587943046,2.88512402,1.783290735
4/25/16,0,3.0210078,2.852134708,3.486261323,1.656734618
4/26/16,0,3.095831709,1.460379103,3.785089438,1.52230659
4/27/16,0.49479018,2.659323958,2.673031754,2.980051355,1.519884463
4/28/16,0,3.79739746,2.755570855,4.425162689,1.426980768
4/29/16,0,3.354831015,1.811575994,3.834524304,1.371241579
4/30/16,0,4.612338649,1.200556091,4.960222657,1.316531794
5/1/16,0,4.436549226,0.954408795,5.385491975,1.27562813
5/2/16,0,3.756133669,0.82990181,4.64861981,1.222871185
5/3/16,0,3.838276177,0.852004527,4.719495047,1.182179457
5/4/16,0,3.981905929,1.104560158,4.471040989,1.163952954
5/5/16,3.078159742,2.411207061,0.826995643,2.500182706,1.176199832
5/6/16,0,3.826694788,0.968009813,3.967680564,1.110090913
5/7/16,0,3.21717354,0.801367437,3.208285634,1.061163955
5/8/16,0,2.856323301,0.897866954,3.791551937,1.048568897
5/9/16,0,4.061157097,0.713758095,4.565394954,0.991633782
5/10/16,0,4.726407816,0.486166149,5.37061987,0.941783389
5/11/16,0,4.682358396,0.473009953,5.682241787,0.905754255
5/12/16,0,4.497256173,0.477695082,5.688245822,0.87204128
5/13/16,0,3.570798482,0.456161962,4.017926194,0.860899497
5/14/16,0,3.189822437,0.349697842,3.095134835,0.853935883
5/15/16,0,3.424815043,0.394199884,3.936164987,0.8456401
5/16/16,0,4.498684149,0.362239173,5.422324043,0.806416786
5/17/16,0,5.958133982,0.443187536,6.315909345,0.77554981
5/18/16,0,5.845241458,0.549134812,6.893174086,0.752024905
5/19/16,0,3.477926651,0.463934395,3.780554972,0.747892152
5/20/16,0,2.493225715,0.251925058,2.729912577,0.749481672
5/21/16,8.371545362,2.031939492,0.239290823,2.294958095,0.814682294
5/22/16,0,3.097012465,0.412760687,3.480359816,0.765058974
5/23/16,0,3.676407357,0.623670235,3.893292433,0.73771922
